date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:49	536/536	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2031%20May%202020%2007:07:49%20GMT	https://cs50.harvard.edu/robots.txt		(from )
09:07:49	28039/28039	---M-Z	200	added ('OK')	text/html	etag:W/%22be3a6e34474b897d6bed25d51aa8eed1%22	https://cs50.harvard.edu/web/2018/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/index.html	(from )
09:07:50	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22a218637bc115ccbd4682cc2cfbae63a2%22	https://cs50.harvard.edu/web/2018/favicon.ico?1590121405	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/faviconb8b0.ico	(from https://cs50.harvard.edu/web/2018/)
09:07:50	269394/269394	---M--	200	added ('OK')	image/jpeg	etag:%221519752060%22	https://img.youtube.com/vi/24Kf3v7kZyE/maxresdefault.jpg	C:/My%20Web%20Sites/cs50/img.youtube.com/vi/24Kf3v7kZyE/maxresdefault.jpg	(from https://cs50.harvard.edu/web/2018/)
09:07:50	58578/58578	---M-Z	200	added ('OK')	text/css	etag:W/%2276cb46c10b6c0293433b371bae2414b2%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.minb8b0.css	(from https://cs50.harvard.edu/web/2018/)
09:07:50	159483/159483	---M-Z	200	added ('OK')	text/css	etag:W/%22e48ac0e091cc01451f8391f71a2e2246%22	https://cs50.harvard.edu/web/2018/assets/page.css?1590121405	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/pageb8b0.css	(from https://cs50.harvard.edu/web/2018/)
09:07:51	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://cs50.harvard.edu/web/2018/assets/jquery/dist/jquery.min.js?1590121405	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/jquery/dist/jquery.minb8b0.js	(from https://cs50.harvard.edu/web/2018/)
09:07:51	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:W/%2284415b7368fd6fc764cbe86039ce0626%22	https://cs50.harvard.edu/web/2018/assets/popper.js/dist/umd/popper.min.js?1590121405	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/popper.js/dist/umd/popper.minb8b0.js	(from https://cs50.harvard.edu/web/2018/)
09:07:51	60174/60174	---M-Z	200	added ('OK')	application/javascript	etag:W/%226bea60c34c5db6797150610dacdc6bce%22	https://cs50.harvard.edu/web/2018/assets/bootstrap/dist/js/bootstrap.min.js?1590121405	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/bootstrap/dist/js/bootstrap.minb8b0.js	(from https://cs50.harvard.edu/web/2018/)
09:07:51	12365/12365	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fbae5870905e5ea9de67261749b3b590%22	https://cs50.harvard.edu/web/2018/assets/jstz.min.js?1590121405	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/jstz.minb8b0.js	(from https://cs50.harvard.edu/web/2018/)
09:07:52	53324/53324	---M-Z	200	added ('OK')	application/javascript	etag:W/%22761502841c035afcf6a9bdc5d0a20d11%22	https://cs50.harvard.edu/web/2018/assets/moment.min.js?1590121405	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/moment.minb8b0.js	(from https://cs50.harvard.edu/web/2018/)
09:07:52	195544/195544	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bd2241bbed52e1686224b9daafa43624%22	https://cs50.harvard.edu/web/2018/assets/moment-timezone-with-data.min.js?1590121405	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/moment-timezone-with-data.minb8b0.js	(from https://cs50.harvard.edu/web/2018/)
09:07:52	10912/10912	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b224ea382cb1e83695f31f591932843%22	https://cs50.harvard.edu/web/2018/assets/jekyll-theme-cs50.js?1590121405	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/jekyll-theme-cs50b8b0.js	(from https://cs50.harvard.edu/web/2018/)
09:07:53	6808/6808	---M-Z	200	added ('OK')	text/html	etag:W/%227b36752248df40c41b2a2881462a9501%22	https://cs50.harvard.edu/web/2018/certificate/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/certificate/index.html	(from https://cs50.harvard.edu/web/2018/)
